"STATISTIC","STATISTIC Label","TLIST(A1)","Year","C02480V03003","Type of Offence","UNIT","VALUE"
"CJA01","Recorded crime incidents","2004","2004","0421","Endangerment with potential for serious harm/death","Number","75"
"CJA01","Recorded crime incidents","2004","2004","0422","Abandoning a child, child neglect and cruelty","Number","191"
"CJA01","Recorded crime incidents","2004","2004","0423","Unseaworthy/dangerous use of boat or ship","Number","0"
"CJA01","Recorded crime incidents","2004","2004","0424","False alarm/interference with aircraft or air transport facilities","Number","19"
"CJA01","Recorded crime incidents","2004","2004","0425","Endangering traffic offences","Number","123"
"CJA01","Recorded crime incidents","2004","2004","05","Kidnapping and related offences","Number","75"
"CJA01","Recorded crime incidents","2004","2004","0511","False imprisonment","Number","63"
"CJA01","Recorded crime incidents","2004","2004","0512","Abduction of person under 16 years of age","Number","12"
"CJA01","Recorded crime incidents","2004","2004","0513","Human trafficking offences","Number","0"
"CJA01","Recorded crime incidents","2004","2004","06","Robbery, extortion and hijacking offences","Number","2716"
"CJA01","Recorded crime incidents","2004","2004","0611","Robbery of an establishment or institution","Number","1076"
"CJA01","Recorded crime incidents","2004","2004","0612","Robbery of cash or goods in transit","Number","61"
"CJA01","Recorded crime incidents","2004","2004","0613","Robbery from the person","Number","1479"
"CJA01","Recorded crime incidents","2004","2004","0621","Blackmail or extortion","Number","15"
"CJA01","Recorded crime incidents","2004","2004","0631","Carjacking, hijacking/unlawful seizure of aircraft/vessel","Number","85"
"CJA01","Recorded crime incidents","2004","2004","07","Burglary and related offences","Number","24898"
"CJA01","Recorded crime incidents","2004","2004","0711","Aggravated burglary","Number","282"
"CJA01","Recorded crime incidents","2004","2004","0712","Burglary (not aggravated)","Number","24417"
"CJA01","Recorded crime incidents","2004","2004","0713","Possession of an article (with intent to burgle, steal, demand)","Number","199"
"CJA01","Recorded crime incidents","2004","2004","08","Theft and related offences","Number","72190"
"CJA01","Recorded crime incidents","2004","2004","081","Theft/taking of vehicle and related offences","Number","14359"
"CJA01","Recorded crime incidents","2004","2004","0821","Theft from person","Number","5709"
"CJA01","Recorded crime incidents","2004","2004","0822","Theft from shop","Number","14881"
"CJA01","Recorded crime incidents","2004","2004","084","Other thefts, handling stolen property","Number","37241"
"CJA01","Recorded crime incidents","2004","2004","09","Fraud, deception and related offences","Number","3176"
"CJA01","Recorded crime incidents","2004","2004","10","Controlled drug offences","Number","9914"
"CJA01","Recorded crime incidents","2004","2004","1011","Importation of drugs","Number","36"
"CJA01","Recorded crime incidents","2004","2004","1012","Cultivation or manufacture of drugs","Number","39"
"CJA01","Recorded crime incidents","2004","2004","1021","Possession of drugs for sale or supply","Number","2183"
"CJA01","Recorded crime incidents","2004","2004","1022","Possession of drugs for personal use","Number","7196"
"CJA01","Recorded crime incidents","2004","2004","103","Other drug offences","Number","460"
"CJA01","Recorded crime incidents","2004","2004","11","Weapons and Explosives Offences","Number","2155"
"CJA01","Recorded crime incidents","2004","2004","111","Explosives, chemical weapons offences","Number","65"
"CJA01","Recorded crime incidents","2004","2004","1121","Discharging a firearm","Number","291"
"CJA01","Recorded crime incidents","2004","2004","1122","Possession of a firearm","Number","374"
"CJA01","Recorded crime incidents","2004","2004","113","Offensive weapons offences (n.e.c.)","Number","1424"
"CJA01","Recorded crime incidents","2004","2004","114","Fireworks offences","Number","1"
"CJA01","Recorded crime incidents","2004","2004","12","Damage to property and to the environment","Number","37037"
"CJA01","Recorded crime incidents","2004","2004","1211","Arson","Number","1500"
"CJA01","Recorded crime incidents","2004","2004","1212","Criminal damage (not arson)","Number","35431"
"CJA01","Recorded crime incidents","2004","2004","1221","Litter offences","Number","106"
"CJA01","Recorded crime incidents","2004","2004","13","Public order and other social code offences","Number","47782"
"CJA01","Recorded crime incidents","2004","2004","131","Disorderly conduct","Number","38227"
"CJA01","Recorded crime incidents","2004","2004","132","Trespass offences","Number","1567"
"CJA01","Recorded crime incidents","2004","2004","133","Liquor licensing offences","Number","6688"
"CJA01","Recorded crime incidents","2004","2004","134","Prostitution offences","Number","219"
"CJA01","Recorded crime incidents","2004","2004","135","Regulated betting/money, collection/trading offences","Number","317"
"CJA01","Recorded crime incidents","2004","2004","136","Social code offences (n.e.c.)","Number","764"
"CJA01","Recorded crime incidents","2004","2004","15","Offences against government, justice procedures and organisation of crime","Number","6460"
"CJA01","Recorded crime incidents","2004","2004","151","Offences against government and its agents","Number","165"
"CJA01","Recorded crime incidents","2004","2004","152","Organisation of crime and conspiracy to commit crime","Number","16"
"CJA01","Recorded crime incidents","2004","2004","153","Perverting the course of justice","Number","263"
"CJA01","Recorded crime incidents","2004","2004","157","Offences while in custody, breach of court orders","Number","6016"
"CJA01","Recorded crime incidents","2005","2005","01","Homicide offences","Number","137"
"CJA01","Recorded crime incidents","2005","2005","0111","Murder","Number","52"
"CJA01","Recorded crime incidents","2005","2005","0112","Manslaughter","Number","17"
"CJA01","Recorded crime incidents","2005","2005","0113","Infanticide","Number","0"
"CJA01","Recorded crime incidents","2005","2005","012","Dangerous driving leading to death","Number","68"
"CJA01","Recorded crime incidents","2005","2005","02","Sexual offences","Number","1568"
"CJA01","Recorded crime incidents","2005","2005","0211","Rape of a male or female","Number","421"
"CJA01","Recorded crime incidents","2005","2005","0212","Defilement of a boy or girl less than 17 years old","Number","114"
"CJA01","Recorded crime incidents","2005","2005","0213","Sexual offence involving mentally impaired person","Number","12"
"CJA01","Recorded crime incidents","2005","2005","0214","Aggravated sexual assault","Number","7"
"CJA01","Recorded crime incidents","2005","2005","0215","Sexual assault (not aggravated)","Number","956"
"CJA01","Recorded crime incidents","2005","2005","022","Other sexual offences","Number","58"
"CJA01","Recorded crime incidents","2005","2005","03","Attempts/threats to murder, assaults, harassments and related offences","Number","13683"
"CJA01","Recorded crime incidents","2005","2005","0311","Murder-attempt","Number","7"
"CJA01","Recorded crime incidents","2005","2005","0313","Threat to kill or cause serious harm","Number","95"
"CJA01","Recorded crime incidents","2005","2005","033","Harassment and related offences","Number","1117"
"CJA01","Recorded crime incidents","2005","2005","034","Assault causing harm, poisoning","Number","3708"
"CJA01","Recorded crime incidents","2005","2005","035","Other assault","Number","8756"
"CJA01","Recorded crime incidents","2005","2005","04","Dangerous or negligent acts","Number","14705"
"CJA01","Recorded crime incidents","2005","2005","0411","Dangerous driving causing serious bodily harm","Number","22"
"CJA01","Recorded crime incidents","2005","2005","0412","Driving/in charge of a vehicle while over legal alcohol limit","Number","14064"
"CJA01","Recorded crime incidents","2005","2005","0413","Driving/in charge of a vehicle under the influence of drugs","Number","106"
"CJA01","Recorded crime incidents","2005","2005","0421","Endangerment with potential for serious harm/death","Number","80"
"CJA01","Recorded crime incidents","2005","2005","0422","Abandoning a child, child neglect and cruelty","Number","264"
"CJA01","Recorded crime incidents","2005","2005","0423","Unseaworthy/dangerous use of boat or ship","Number","0"
"CJA01","Recorded crime incidents","2005","2005","0424","False alarm/interference with aircraft or air transport facilities","Number","18"
"CJA01","Recorded crime incidents","2005","2005","0425","Endangering traffic offences","Number","151"
"CJA01","Recorded crime incidents","2005","2005","05","Kidnapping and related offences","Number","74"
"CJA01","Recorded crime incidents","2005","2005","0511","False imprisonment","Number","58"
"CJA01","Recorded crime incidents","2005","2005","0512","Abduction of person under 16 years of age","Number","16"
"CJA01","Recorded crime incidents","2005","2005","0513","Human trafficking offences","Number","0"
"CJA01","Recorded crime incidents","2005","2005","06","Robbery, extortion and hijacking offences","Number","2423"
"CJA01","Recorded crime incidents","2005","2005","0611","Robbery of an establishment or institution","Number","1152"
"CJA01","Recorded crime incidents","2005","2005","0612","Robbery of cash or goods in transit","Number","44"
"CJA01","Recorded crime incidents","2005","2005","0613","Robbery from the person","Number","1137"
"CJA01","Recorded crime incidents","2005","2005","0621","Blackmail or extortion","Number","18"
"CJA01","Recorded crime incidents","2005","2005","0631","Carjacking, hijacking/unlawful seizure of aircraft/vessel","Number","72"
"CJA01","Recorded crime incidents","2005","2005","07","Burglary and related offences","Number","26371"
"CJA01","Recorded crime incidents","2005","2005","0711","Aggravated burglary","Number","274"
"CJA01","Recorded crime incidents","2005","2005","0712","Burglary (not aggravated)","Number","25900"
"CJA01","Recorded crime incidents","2005","2005","0713","Possession of an article (with intent to burgle, steal, demand)","Number","197"
"CJA01","Recorded crime incidents","2005","2005","08","Theft and related offences","Number","73041"
"CJA01","Recorded crime incidents","2005","2005","081","Theft/taking of vehicle and related offences","Number","14186"
"CJA01","Recorded crime incidents","2005","2005","0821","Theft from person","Number","4610"
"CJA01","Recorded crime incidents","2005","2005","0822","Theft from shop","Number","16463"
"CJA01","Recorded crime incidents","2005","2005","084","Other thefts, handling stolen property","Number","37782"
"CJA01","Recorded crime incidents","2005","2005","09","Fraud, deception and related offences","Number","3739"
"CJA01","Recorded crime incidents","2005","2005","10","Controlled drug offences","Number","13346"
"CJA01","Recorded crime incidents","2005","2005","1011","Importation of drugs","Number","36"
"CJA01","Recorded crime incidents","2005","2005","1012","Cultivation or manufacture of drugs","Number","50"
"CJA01","Recorded crime incidents","2005","2005","1021","Possession of drugs for sale or supply","Number","2652"
"CJA01","Recorded crime incidents","2005","2005","1022","Possession of drugs for personal use","Number","10067"
"CJA01","Recorded crime incidents","2005","2005","103","Other drug offences","Number","541"
"CJA01","Recorded crime incidents","2005","2005","11","Weapons and Explosives Offences","Number","2553"
"CJA01","Recorded crime incidents","2005","2005","111","Explosives, chemical weapons offences","Number","102"
"CJA01","Recorded crime incidents","2005","2005","1121","Discharging a firearm","Number","311"
"CJA01","Recorded crime incidents","2005","2005","1122","Possession of a firearm","Number","431"
"CJA01","Recorded crime incidents","2005","2005","113","Offensive weapons offences (n.e.c.)","Number","1706"
"CJA01","Recorded crime incidents","2005","2005","114","Fireworks offences","Number","3"
"CJA01","Recorded crime incidents","2005","2005","12","Damage to property and to the environment","Number","39715"
"CJA01","Recorded crime incidents","2005","2005","1211","Arson","Number","1414"
"CJA01","Recorded crime incidents","2005","2005","1212","Criminal damage (not arson)","Number","38173"
"CJA01","Recorded crime incidents","2005","2005","1221","Litter offences","Number","128"
"CJA01","Recorded crime incidents","2005","2005","13","Public order and other social code offences","Number","55483"
"CJA01","Recorded crime incidents","2005","2005","131","Disorderly conduct","Number","42428"
"CJA01","Recorded crime incidents","2005","2005","132","Trespass offences","Number","1840"
"CJA01","Recorded crime incidents","2005","2005","133","Liquor licensing offences","Number","9684"
"CJA01","Recorded crime incidents","2005","2005","134","Prostitution offences","Number","85"
"CJA01","Recorded crime incidents","2005","2005","135","Regulated betting/money, collection/trading offences","Number","370"
"CJA01","Recorded crime incidents","2005","2005","136","Social code offences (n.e.c.)","Number","1076"
"CJA01","Recorded crime incidents","2005","2005","15","Offences against government, justice procedures and organisation of crime","Number","7787"
"CJA01","Recorded crime incidents","2005","2005","151","Offences against government and its agents","Number","147"
"CJA01","Recorded crime incidents","2005","2005","152","Organisation of crime and conspiracy to commit crime","Number","5"
"CJA01","Recorded crime incidents","2005","2005","153","Perverting the course of justice","Number","225"
"CJA01","Recorded crime incidents","2005","2005","157","Offences while in custody, breach of court orders","Number","7410"
"CJA01","Recorded crime incidents","2006","2006","01","Homicide offences","Number","144"
"CJA01","Recorded crime incidents","2006","2006","0111","Murder","Number","59"
"CJA01","Recorded crime incidents","2006","2006","0112","Manslaughter","Number","15"
"CJA01","Recorded crime incidents","2006","2006","0113","Infanticide","Number","0"
"CJA01","Recorded crime incidents","2006","2006","012","Dangerous driving leading to death","Number","70"
"CJA01","Recorded crime incidents","2006","2006","02","Sexual offences","Number","1442"
"CJA01","Recorded crime incidents","2006","2006","0211","Rape of a male or female","Number","365"
"CJA01","Recorded crime incidents","2006","2006","0212","Defilement of a boy or girl less than 17 years old","Number","70"
"CJA01","Recorded crime incidents","2006","2006","0213","Sexual offence involving mentally impaired person","Number","15"
"CJA01","Recorded crime incidents","2006","2006","0214","Aggravated sexual assault","Number","16"
"CJA01","Recorded crime incidents","2006","2006","0215","Sexual assault (not aggravated)","Number","917"
"CJA01","Recorded crime incidents","2006","2006","022","Other sexual offences","Number","59"
"CJA01","Recorded crime incidents","2006","2006","03","Attempts/threats to murder, assaults, harassments and related offences","Number","15557"
"CJA01","Recorded crime incidents","2006","2006","0311","Murder-attempt","Number","8"
"CJA01","Recorded crime incidents","2006","2006","0313","Threat to kill or cause serious harm","Number","97"
"CJA01","Recorded crime incidents","2006","2006","033","Harassment and related offences","Number","1669"
"CJA01","Recorded crime incidents","2006","2006","034","Assault causing harm, poisoning","Number","4004"
"CJA01","Recorded crime incidents","2006","2006","035","Other assault","Number","9779"
"CJA01","Recorded crime incidents","2006","2006","04","Dangerous or negligent acts","Number","19194"
"CJA01","Recorded crime incidents","2006","2006","0411","Dangerous driving causing serious bodily harm","Number","24"
"CJA01","Recorded crime incidents","2006","2006","0412","Driving/in charge of a vehicle while over legal alcohol limit","Number","18516"
"CJA01","Recorded crime incidents","2006","2006","0413","Driving/in charge of a vehicle under the influence of drugs","Number","117"
"CJA01","Recorded crime incidents","2006","2006","0421","Endangerment with potential for serious harm/death","Number","70"
"CJA01","Recorded crime incidents","2006","2006","0422","Abandoning a child, child neglect and cruelty","Number","300"
"CJA01","Recorded crime incidents","2006","2006","0423","Unseaworthy/dangerous use of boat or ship","Number","0"
"CJA01","Recorded crime incidents","2006","2006","0424","False alarm/interference with aircraft or air transport facilities","Number","16"
"CJA01","Recorded crime incidents","2006","2006","0425","Endangering traffic offences","Number","151"
"CJA01","Recorded crime incidents","2006","2006","05","Kidnapping and related offences","Number","82"
"CJA01","Recorded crime incidents","2006","2006","0511","False imprisonment","Number","70"
"CJA01","Recorded crime incidents","2006","2006","0512","Abduction of person under 16 years of age","Number","12"
"CJA01","Recorded crime incidents","2006","2006","0513","Human trafficking offences","Number","0"
"CJA01","Recorded crime incidents","2006","2006","06","Robbery, extortion and hijacking offences","Number","2489"
"CJA01","Recorded crime incidents","2006","2006","0611","Robbery of an establishment or institution","Number","1103"
"CJA01","Recorded crime incidents","2006","2006","0612","Robbery of cash or goods in transit","Number","31"
"CJA01","Recorded crime incidents","2006","2006","0613","Robbery from the person","Number","1254"
"CJA01","Recorded crime incidents","2006","2006","0621","Blackmail or extortion","Number","11"
"CJA01","Recorded crime incidents","2006","2006","0631","Carjacking, hijacking/unlawful seizure of aircraft/vessel","Number","90"
"CJA01","Recorded crime incidents","2006","2006","07","Burglary and related offences","Number","24823"
"CJA01","Recorded crime incidents","2006","2006","0711","Aggravated burglary","Number","285"
"CJA01","Recorded crime incidents","2006","2006","0712","Burglary (not aggravated)","Number","24304"
"CJA01","Recorded crime incidents","2006","2006","0713","Possession of an article (with intent to burgle, steal, demand)","Number","234"
"CJA01","Recorded crime incidents","2006","2006","08","Theft and related offences","Number","74521"
"CJA01","Recorded crime incidents","2006","2006","081","Theft/taking of vehicle and related offences","Number","13658"
"CJA01","Recorded crime incidents","2006","2006","0821","Theft from person","Number","3590"
"CJA01","Recorded crime incidents","2006","2006","0822","Theft from shop","Number","18435"
"CJA01","Recorded crime incidents","2006","2006","084","Other thefts, handling stolen property","Number","38838"
"CJA01","Recorded crime incidents","2006","2006","09","Fraud, deception and related offences","Number","4337"
"CJA01","Recorded crime incidents","2006","2006","10","Controlled drug offences","Number","14229"
"CJA01","Recorded crime incidents","2006","2006","1011","Importation of drugs","Number","43"
"CJA01","Recorded crime incidents","2006","2006","1012","Cultivation or manufacture of drugs","Number","91"
"CJA01","Recorded crime incidents","2006","2006","1021","Possession of drugs for sale or supply","Number","2999"
"CJA01","Recorded crime incidents","2006","2006","1022","Possession of drugs for personal use","Number","10490"
"CJA01","Recorded crime incidents","2006","2006","103","Other drug offences","Number","606"
"CJA01","Recorded crime incidents","2006","2006","11","Weapons and Explosives Offences","Number","3123"
"CJA01","Recorded crime incidents","2006","2006","111","Explosives, chemical weapons offences","Number","166"
"CJA01","Recorded crime incidents","2006","2006","1121","Discharging a firearm","Number","297"
"CJA01","Recorded crime incidents","2006","2006","1122","Possession of a firearm","Number","419"
"CJA01","Recorded crime incidents","2006","2006","113","Offensive weapons offences (n.e.c.)","Number","2203"
"CJA01","Recorded crime incidents","2006","2006","114","Fireworks offences","Number","38"
"CJA01","Recorded crime incidents","2006","2006","12","Damage to property and to the environment","Number","43587"
"CJA01","Recorded crime incidents","2006","2006","1211","Arson","Number","1660"
"CJA01","Recorded crime incidents","2006","2006","1212","Criminal damage (not arson)","Number","41787"
"CJA01","Recorded crime incidents","2006","2006","1221","Litter offences","Number","140"
"CJA01","Recorded crime incidents","2006","2006","13","Public order and other social code offences","Number","56599"
"CJA01","Recorded crime incidents","2006","2006","131","Disorderly conduct","Number","47248"
"CJA01","Recorded crime incidents","2006","2006","132","Trespass offences","Number","2363"
"CJA01","Recorded crime incidents","2006","2006","133","Liquor licensing offences","Number","5648"
"CJA01","Recorded crime incidents","2006","2006","134","Prostitution offences","Number","105"
"CJA01","Recorded crime incidents","2006","2006","135","Regulated betting/money, collection/trading offences","Number","417"
"CJA01","Recorded crime incidents","2006","2006","136","Social code offences (n.e.c.)","Number","818"
"CJA01","Recorded crime incidents","2006","2006","15","Offences against government, justice procedures and organisation of crime","Number","9482"
"CJA01","Recorded crime incidents","2006","2006","151","Offences against government and its agents","Number","238"
"CJA01","Recorded crime incidents","2006","2006","152","Organisation of crime and conspiracy to commit crime","Number","19"
"CJA01","Recorded crime incidents","2006","2006","153","Perverting the course of justice","Number","249"
"CJA01","Recorded crime incidents","2006","2006","157","Offences while in custody, breach of court orders","Number","8976"
"CJA01","Recorded crime incidents","2007","2007","01","Homicide offences","Number","153"
"CJA01","Recorded crime incidents","2007","2007","0111","Murder","Number","78"
"CJA01","Recorded crime incidents","2007","2007","0112","Manslaughter","Number","8"
"CJA01","Recorded crime incidents","2007","2007","0113","Infanticide","Number","1"
"CJA01","Recorded crime incidents","2007","2007","012","Dangerous driving leading to death","Number","66"
"CJA01","Recorded crime incidents","2007","2007","02","Sexual offences","Number","1359"
"CJA01","Recorded crime incidents","2007","2007","0211","Rape of a male or female","Number","355"
"CJA01","Recorded crime incidents","2007","2007","0212","Defilement of a boy or girl less than 17 years old","Number","71"
"CJA01","Recorded crime incidents","2007","2007","0213","Sexual offence involving mentally impaired person","Number","12"
"CJA01","Recorded crime incidents","2007","2007","0214","Aggravated sexual assault","Number","17"
"CJA01","Recorded crime incidents","2007","2007","0215","Sexual assault (not aggravated)","Number","812"
"CJA01","Recorded crime incidents","2007","2007","022","Other sexual offences","Number","92"
"CJA01","Recorded crime incidents","2007","2007","03","Attempts/threats to murder, assaults, harassments and related offences","Number","18141"
"CJA01","Recorded crime incidents","2007","2007","0311","Murder-attempt","Number","4"
"CJA01","Recorded crime incidents","2007","2007","0313","Threat to kill or cause serious harm","Number","164"
"CJA01","Recorded crime incidents","2007","2007","033","Harassment and related offences","Number","2541"
"CJA01","Recorded crime incidents","2007","2007","034","Assault causing harm, poisoning","Number","3912"
"CJA01","Recorded crime incidents","2007","2007","035","Other assault","Number","11520"
"CJA01","Recorded crime incidents","2007","2007","04","Dangerous or negligent acts","Number","20728"
"CJA01","Recorded crime incidents","2007","2007","0411","Dangerous driving causing serious bodily harm","Number","26"
"CJA01","Recorded crime incidents","2007","2007","0412","Driving/in charge of a vehicle while over legal alcohol limit","Number","19547"
"CJA01","Recorded crime incidents","2007","2007","0413","Driving/in charge of a vehicle under the influence of drugs","Number","289"
